Timestamp,Age (Complete),Gender,Are you employed,Do you invest the money earned or saved or received from family (if not employed currently) ?,Where do you invest? (Select all the apply),Do you get paid in ESOPs (employee stock ownership plan as a part of your CTC)?,"City of work (Write like this - Example: Pune, Maharashtra, India)","Home town (Write like this - Example: Pune, Maharashtra, India)"
3/31/2024 17:04:09,27,Male,Yes,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum, Fixed Deposit, Unit Linked Insurance Plans",No,Bilaspur,Bilaspur
3/31/2024 17:05:15,25,Female,Yes,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum",No,"Thane, Maharashtra, India ","Jaipur, Rajasthan, India "
3/31/2024 17:11:24,28,Female,Yes,Yes,"Fixed Deposit, Public Provident Fund, Unit Linked Insurance Plans, LIC",No,"Bengaluru, Karnataka, India","Nagpur,Maharashtra, India"
3/31/2024 17:12:03,24,Female,No,No,I do not invest,No,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India"
3/31/2024 17:14:18,24,Male,Yes,Yes,"Stocks, Mutual Fund, Public Provident Fund",No,Mumbai,Mumbai
3/31/2024 17:14:39,26,Male,No,No,I do not invest,No,"Pune, Maharashtra, India","Nagpur, Maharashtra, India"
3/31/2024 17:15:08,23,Female,No,Yes,"Stocks, Mutual Fund",No,Delhi,Delhi
3/31/2024 17:17:05,24,Male,No,No,I do not invest,No,"Chennai,Tamil Nadu, India ","Hyderabad, Telangana, India "
3/31/2024 17:17:47,26,Male,Yes,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum, Bonds, Public Provident Fund",No,"Noida, Uttar Pradesh , india","Nagpur, Maharashtra, India "
3/31/2024 17:20:37,24,Female,No,No,I do not invest,No,Na,Bihar
3/31/2024 17:20:51,23,Male,Yes,Yes,"Bonds, Certificate of Deposit, Fixed Deposit",No,"Nagpur, Maharashtra, India","Akola, Maharashtra, India"
3/31/2024 17:22:41,25,Female,Yes,Yes,"Gold/Silver/Platinum, Fixed Deposit",,Nagpur ,Nagpur 
3/31/2024 17:23:31,27,Male,Yes,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum, Public Provident Fund, National Pensions System",Yes,"Nagpur, Maharashtra, India","Khamgaon, Maharashtra, India"
3/31/2024 17:23:32,22,Male,No,Yes,"Stocks, Mutual Fund, Fixed Deposit",,hyderabad,hyderabad
3/31/2024 17:25:41,25,Male,No,No,I do not invest,No,NILL,"Jaipur, Rajasthan, India "
3/31/2024 17:28:29,22,Female,Yes,No,I do not invest,No,"Pune, Maharashtra, India","Jammu, Jammu and Kashmir, India"
3/31/2024 17:28:48,22,Male,No,No,I do not invest,,"Kharagpur, West Bengal, India","Pune, Maharashtra, India"
3/31/2024 17:30:06,24,Male,Yes,No,I do not invest,No,Nagpur ,Bhandara
3/31/2024 17:33:14,23,Male,No,No,I do not invest,No,"Kharagpur, West Bengal, India","Dhekiajuli, Assam, India"
3/31/2024 17:52:38,22,Female,No,No,I do not invest,No,Chennai,Trichy
3/31/2024 17:54:55,25,Female,Yes,Yes,"Gold/Silver/Platinum, Fixed Deposit",No,"Nagpur, Maharashtra, India","Nagpur, Maharashtra, India "
3/31/2024 17:56:51,26,Male,Yes,Yes,"Stocks, Mutual Fund, Fixed Deposit",No,Bangalore ,Nagpur 
3/31/2024 18:19:57,23,Female,No,No,I do not invest,No,India,Guntur
3/31/2024 18:21:49,34,Male,Yes,Yes,Stocks,No,"Nagpur, Maharashtra, India","Nagpur, Maharashtra, India"
3/31/2024 18:28:31,23,Male,No,Yes,"Stocks, Mutual Fund",No,"Chennai, Tamil Nadu, India","Madurai, Tamil Nadu, India"
3/31/2024 18:42:02,21,Male,Yes,Yes,"Stocks, Mutual Fund",No,"Mumbai, Maharashtra, India ","Navi Mumbai, Maharashtra, India "
3/31/2024 18:43:00,27,Male,Yes,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum, Fixed Deposit, Public Provident Fund, National Pensions System",No,Pune,Pune
3/31/2024 18:45:01,24,Male,No,Yes,Stocks,Yes,Tamilnadu,Andhra Pradesh
